번호,언어 제공자 ID,취득연도,방향,타입(단어/문장),파일명,한국어
1,1,2017,정면,단어,KETI_SL_0000000001.MOV,0
2,1,2017,정면,단어,KETI_SL_0000000002.MOV,1
3,1,2017,정면,단어,KETI_SL_0000000003.MOV,2
4,1,2017,정면,단어,KETI_SL_0000000004.MOV,3
5,1,2017,정면,단어,KETI_SL_0000000005.MOV,4
6,1,2017,정면,단어,KETI_SL_0000000006.MOV,5
7,1,2017,정면,단어,KETI_SL_0000000007.MOV,6
8,1,2017,정면,단어,KETI_SL_0000000008.MOV,7
9,1,2017,정면,단어,KETI_SL_0000000009.MOV,8
10,1,2017,정면,단어,KETI_SL_0000000010.MOV,9
11,1,2017,정면,단어,KETI_SL_0000000011.MOV,10
12,1,2017,정면,단어,KETI_SL_0000000012.MOV,11
13,1,2017,정면,단어,KETI_SL_0000000013.MOV,12
14,1,2017,정면,단어,KETI_SL_0000000014.MOV,13
15,1,2017,정면,단어,KETI_SL_0000000015.MOV,14
16,1,2017,정면,단어,KETI_SL_0000000016.MOV,15
17,1,2017,정면,단어,KETI_SL_0000000017.MOV,16
18,1,2017,정면,단어,KETI_SL_0000000018.MOV,17
19,1,2017,정면,단어,KETI_SL_0000000019.MOV,18
20,1,2017,정면,단어,KETI_SL_0000000020.MOV,19
21,1,2017,정면,단어,KETI_SL_0000000021.MOV,20
22,1,2017,정면,단어,KETI_SL_0000000022.MOV,21
23,1,2017,정면,단어,KETI_SL_0000000023.MOV,22
24,1,2017,정면,단어,KETI_SL_0000000024.MOV,23
25,1,2017,정면,단어,KETI_SL_0000000025.MOV,24
26,1,2017,정면,단어,KETI_SL_0000000026.MOV,25
27,1,2017,정면,단어,KETI_SL_0000000027.MOV,26
28,1,2017,정면,단어,KETI_SL_0000000028.MOV,27
29,1,2017,정면,단어,KETI_SL_0000000029.MOV,28
30,1,2017,정면,단어,KETI_SL_0000000030.MOV,29
31,1,2017,정면,단어,KETI_SL_0000000031.MOV,30
32,1,2017,정면,단어,KETI_SL_0000000032.MOV,31
33,1,2017,정면,단어,KETI_SL_0000000033.MOV,32
34,1,2017,정면,단어,KETI_SL_0000000034.MOV,33
35,1,2017,정면,단어,KETI_SL_0000000035.MOV,34
36,1,2017,정면,단어,KETI_SL_0000000036.MOV,35
37,1,2017,정면,단어,KETI_SL_0000000037.MOV,36
38,1,2017,정면,단어,KETI_SL_0000000038.MOV,37
39,1,2017,정면,단어,KETI_SL_0000000039.MOV,38
40,1,2017,정면,단어,KETI_SL_0000000040.MOV,39
41,1,2017,정면,단어,KETI_SL_0000000041.MOV,40
42,1,2017,정면,단어,KETI_SL_0000000042.MOV,41
43,1,2017,정면,단어,KETI_SL_0000000043.MOV,42
44,1,2017,정면,단어,KETI_SL_0000000044.MOV,43
45,1,2017,정면,단어,KETI_SL_0000000045.MOV,44
46,1,2017,정면,단어,KETI_SL_0000000046.MOV,45
47,1,2017,정면,단어,KETI_SL_0000000047.MOV,46
48,1,2017,정면,단어,KETI_SL_0000000048.MOV,47
