번호,언어 제공자 ID,취득연도,방향,타입(단어/문장),,파일명,한국어,
10481,11,2018,정면,단어,0,KETI_SL_0000010481,0,
10482,11,2018,정면,단어,1,KETI_SL_0000010482,1,
10483,11,2018,정면,단어,2,KETI_SL_0000010483,2,
10484,11,2018,정면,단어,3,KETI_SL_0000010484,3,
10485,11,2018,정면,단어,4,KETI_SL_0000010485,4,
10486,11,2018,정면,단어,5,KETI_SL_0000010486,5,
10487,11,2018,정면,단어,6,KETI_SL_0000010487,6,
10488,11,2018,정면,단어,7,KETI_SL_0000010488,7,
10489,11,2018,정면,단어,8,KETI_SL_0000010489,8,
10490,11,2018,정면,단어,9,KETI_SL_0000010490,9,
10491,11,2018,정면,단어,10,KETI_SL_0000010491,10,
10492,11,2018,정면,단어,11,KETI_SL_0000010492,11,
10493,11,2018,정면,단어,12,KETI_SL_0000010493,12,
10494,11,2018,정면,단어,13,KETI_SL_0000010494,13,
10495,11,2018,정면,단어,14,KETI_SL_0000010495,14,
10496,11,2018,정면,단어,15,KETI_SL_0000010496,15,
10497,11,2018,정면,단어,16,KETI_SL_0000010497,16,
10498,11,2018,정면,단어,17,KETI_SL_0000010498,17,
10499,11,2018,정면,단어,18,KETI_SL_0000010499,18,
10500,11,2018,정면,단어,19,KETI_SL_0000010500,19,
10501,11,2018,정면,단어,20,KETI_SL_0000010501,20,
10502,11,2018,정면,단어,21,KETI_SL_0000010502,21,
10503,11,2018,정면,단어,22,KETI_SL_0000010503,22,
10504,11,2018,정면,단어,23,KETI_SL_0000010504,23,
10505,11,2018,정면,단어,24,KETI_SL_0000010505,24,
10506,11,2018,정면,단어,25,KETI_SL_0000010506,25,
10507,11,2018,정면,단어,26,KETI_SL_0000010507,26,
10508,11,2018,정면,단어,27,KETI_SL_0000010508,27,
10509,11,2018,정면,단어,28,KETI_SL_0000010509,28,
10510,11,2018,정면,단어,29,KETI_SL_0000010510,29,
10511,11,2018,정면,단어,30,KETI_SL_0000010511,30,
10512,11,2018,정면,단어,31,KETI_SL_0000010512,31,
10513,11,2018,정면,단어,32,KETI_SL_0000010513,32,
10514,11,2018,정면,단어,33,KETI_SL_0000010514,33,
10515,11,2018,정면,단어,34,KETI_SL_0000010515,34,
10516,11,2018,정면,단어,35,KETI_SL_0000010516,35,
10517,11,2018,정면,단어,36,KETI_SL_0000010517,36,
10518,11,2018,정면,단어,37,KETI_SL_0000010518,37,
10519,11,2018,정면,단어,38,KETI_SL_0000010519,38,
10520,11,2018,정면,단어,39,KETI_SL_0000010520,39,
10521,11,2018,정면,단어,40,KETI_SL_0000010521,40,
10522,11,2018,정면,단어,41,KETI_SL_0000010522,41,
10523,11,2018,정면,단어,42,KETI_SL_0000010523,42,
10524,11,2018,정면,단어,43,KETI_SL_0000010524,43,
10525,11,2018,정면,단어,44,KETI_SL_0000010525,44,
10526,11,2018,정면,단어,45,KETI_SL_0000010526,45,
10527,11,2018,정면,단어,46,KETI_SL_0000010527,46,
10528,11,2018,정면,단어,47,KETI_SL_0000010528,47,
10529,11,2018,정면,단어,48,KETI_SL_0000010529,48,
10530,11,2018,정면,단어,49,KETI_SL_0000010530,49,
10531,11,2018,정면,단어,50,KETI_SL_0000010531,50,
10532,11,2018,정면,단어,51,KETI_SL_0000010532,51,
10533,11,2018,정면,단어,52,KETI_SL_0000010533,52,
10534,11,2018,정면,단어,53,KETI_SL_0000010534,53,
10535,11,2018,정면,단어,54,KETI_SL_0000010535,54,
10536,11,2018,정면,단어,55,KETI_SL_0000010536,55,
10537,11,2018,정면,단어,56,KETI_SL_0000010537,56,
10538,11,2018,정면,단어,57,KETI_SL_0000010538,57,
10539,11,2018,정면,단어,58,KETI_SL_0000010539,58,
10540,11,2018,정면,단어,59,KETI_SL_0000010540,59,
10541,11,2018,정면,단어,60,KETI_SL_0000010541,60,
10542,11,2018,정면,단어,61,KETI_SL_0000010542,61,
10543,11,2018,정면,단어,62,KETI_SL_0000010543,62,
10544,11,2018,정면,단어,63,KETI_SL_0000010544,63,
10545,11,2018,정면,단어,64,KETI_SL_0000010545,64,
10546,11,2018,정면,단어,65,KETI_SL_0000010546,65,
10547,11,2018,정면,단어,66,KETI_SL_0000010547,66,
10548,11,2018,정면,단어,67,KETI_SL_0000010548,67,
10549,11,2018,정면,단어,68,KETI_SL_0000010549,68,
10550,11,2018,정면,단어,69,KETI_SL_0000010550,69,
10551,11,2018,정면,단어,70,KETI_SL_0000010551,70,
10552,11,2018,정면,단어,71,KETI_SL_0000010552,71,
10553,11,2018,정면,단어,72,KETI_SL_0000010553,72,
10554,11,2018,정면,단어,73,KETI_SL_0000010554,73,
10555,11,2018,정면,단어,74,KETI_SL_0000010555,74,
10556,11,2018,정면,단어,75,KETI_SL_0000010556,75,
10557,11,2018,정면,단어,76,KETI_SL_0000010557,76,
10558,11,2018,정면,단어,77,KETI_SL_0000010558,77,
10559,11,2018,정면,단어,78,KETI_SL_0000010559,78,
10560,11,2018,정면,단어,79,KETI_SL_0000010560,79,
10561,11,2018,정면,단어,80,KETI_SL_0000010561,80,
10562,11,2018,정면,단어,81,KETI_SL_0000010562,81,
10563,11,2018,정면,단어,82,KETI_SL_0000010563,82,
10564,11,2018,정면,단어,83,KETI_SL_0000010564,83,
10565,11,2018,정면,단어,84,KETI_SL_0000010565,84,
10566,11,2018,정면,단어,85,KETI_SL_0000010566,85,
10567,11,2018,정면,단어,86,KETI_SL_0000010567,86,
10568,11,2018,정면,단어,87,KETI_SL_0000010568,87,
10569,11,2018,정면,단어,88,KETI_SL_0000010569,88,
10570,11,2018,정면,단어,89,KETI_SL_0000010570,89,
10571,11,2018,정면,단어,90,KETI_SL_0000010571,90,
10572,11,2018,정면,단어,91,KETI_SL_0000010572,91,
10573,11,2018,정면,단어,92,KETI_SL_0000010573,92,
10574,11,2018,정면,단어,93,KETI_SL_0000010574,93,
10575,11,2018,정면,단어,94,KETI_SL_0000010575,94,
10576,11,2018,정면,단어,95,KETI_SL_0000010576,95,
10577,11,2018,정면,단어,96,KETI_SL_0000010577,96,
10578,11,2018,정면,단어,97,KETI_SL_0000010578,97,
10579,11,2018,정면,단어,98,KETI_SL_0000010579,98,
10580,11,2018,정면,단어,99,KETI_SL_0000010580,99,
10581,11,2018,정면,단어,100,KETI_SL_0000010581,100,
10582,11,2018,정면,단어,112,KETI_SL_0000010582,112,
10583,11,2018,정면,단어,119,KETI_SL_0000010583,119,
10584,11,2018,정면,단어,1000,KETI_SL_0000010584,1000,
10585,11,2018,정면,단어,10000,KETI_SL_0000010585,10000,
10586,11,2018,정면,단어,가렵다,KETI_SL_0000010586,가렵다,
10587,11,2018,정면,단어,가스,KETI_SL_0000010587,가스,
10588,11,2018,정면,단어,가슴,KETI_SL_0000010588,가슴,
10589,11,2018,정면,단어,가시,KETI_SL_0000010589,가시,
10590,11,2018,정면,단어,각목,KETI_SL_0000010590,각목,
10591,11,2018,정면,단어,갇히다,KETI_SL_0000010591,갇히다,
10592,11,2018,정면,단어,감금,KETI_SL_0000010592,감금,
10593,11,2018,정면,단어,감전,KETI_SL_0000010593,감전,
10594,11,2018,정면,단어,강,KETI_SL_0000010594,강,
10595,11,2018,정면,단어,강남구,KETI_SL_0000010595,강남구,
10596,11,2018,정면,단어,강동구,KETI_SL_0000010596,강동구,
10597,11,2018,정면,단어,강북구,KETI_SL_0000010597,강북구,
10598,11,2018,정면,단어,강서구,KETI_SL_0000010598,강서구,
10599,11,2018,정면,단어,강풍,KETI_SL_0000010599,강풍,
10600,11,2018,정면,단어,개,KETI_SL_0000010600,개,
10601,11,2018,정면,단어,거실,KETI_SL_0000010601,거실,
10602,11,2018,정면,단어,걸렸다,KETI_SL_0000010602,걸렸다,
10603,11,2018,정면,단어,결박,KETI_SL_0000010603,결박,
10604,11,2018,정면,단어,경운기,KETI_SL_0000010604,경운기,
10605,11,2018,정면,단어,경찰,KETI_SL_0000010605,경찰,
10606,11,2018,정면,단어,경찰차,KETI_SL_0000010606,경찰차,
10607,11,2018,정면,단어,계곡,KETI_SL_0000010607,계곡,
10608,11,2018,정면,단어,계단,KETI_SL_0000010608,계단,
10609,11,2018,정면,단어,고속도로,KETI_SL_0000010609,고속도로,
10610,11,2018,정면,단어,고압전선,KETI_SL_0000010610,고압전선,
10611,11,2018,정면,단어,고열,KETI_SL_0000010611,고열,
10612,11,2018,정면,단어,고장,KETI_SL_0000010612,고장,
10613,11,2018,정면,단어,부러지다,KETI_SL_0000010613,부러지다,
10614,11,2018,정면,단어,골절,KETI_SL_0000010614,골절,
10615,11,2018,정면,단어,탈골,KETI_SL_0000010615,탈골,
10616,11,2018,정면,단어,곰,KETI_SL_0000010616,곰,
10617,11,2018,정면,단어,공사장,KETI_SL_0000010617,공사장,
10618,11,2018,정면,단어,공원,KETI_SL_0000010618,공원,
10619,11,2018,정면,단어,놀이터,KETI_SL_0000010619,놀이터,
10620,11,2018,정면,단어,공장,KETI_SL_0000010620,공장,
10621,11,2018,정면,단어,관악구,KETI_SL_0000010621,관악구,
10622,11,2018,정면,단어,광진구,KETI_SL_0000010622,광진구,
