번호,언어 제공자 ID,방향,타입(단어/문장),파일명,한국어
10481,11,정면,단어,KETI_SL_0000010481,0
10482,11,정면,단어,KETI_SL_0000010482,1
10483,11,정면,단어,KETI_SL_0000010483,2
10484,11,정면,단어,KETI_SL_0000010484,3
10485,11,정면,단어,KETI_SL_0000010485,4
10486,11,정면,단어,KETI_SL_0000010486,5
10487,11,정면,단어,KETI_SL_0000010487,6
10488,11,정면,단어,KETI_SL_0000010488,7
10489,11,정면,단어,KETI_SL_0000010489,8
10490,11,정면,단어,KETI_SL_0000010490,9
10491,11,정면,단어,KETI_SL_0000010491,10
10492,11,정면,단어,KETI_SL_0000010492,11
10493,11,정면,단어,KETI_SL_0000010493,12
10494,11,정면,단어,KETI_SL_0000010494,13
10495,11,정면,단어,KETI_SL_0000010495,14
10496,11,정면,단어,KETI_SL_0000010496,15
10497,11,정면,단어,KETI_SL_0000010497,16
10498,11,정면,단어,KETI_SL_0000010498,17
10499,11,정면,단어,KETI_SL_0000010499,18
10500,11,정면,단어,KETI_SL_0000010500,19
10501,11,정면,단어,KETI_SL_0000010501,20
10502,11,정면,단어,KETI_SL_0000010502,21
10503,11,정면,단어,KETI_SL_0000010503,22
10504,11,정면,단어,KETI_SL_0000010504,23
10505,11,정면,단어,KETI_SL_0000010505,24
10506,11,정면,단어,KETI_SL_0000010506,25
10507,11,정면,단어,KETI_SL_0000010507,26
10508,11,정면,단어,KETI_SL_0000010508,27
10509,11,정면,단어,KETI_SL_0000010509,28
10510,11,정면,단어,KETI_SL_0000010510,29
10511,11,정면,단어,KETI_SL_0000010511,30
10512,11,정면,단어,KETI_SL_0000010512,31
10513,11,정면,단어,KETI_SL_0000010513,32
10514,11,정면,단어,KETI_SL_0000010514,33
10515,11,정면,단어,KETI_SL_0000010515,34
10516,11,정면,단어,KETI_SL_0000010516,35
10517,11,정면,단어,KETI_SL_0000010517,36
10518,11,정면,단어,KETI_SL_0000010518,37
10519,11,정면,단어,KETI_SL_0000010519,38
10520,11,정면,단어,KETI_SL_0000010520,39
10521,11,정면,단어,KETI_SL_0000010521,40
10522,11,정면,단어,KETI_SL_0000010522,41
10523,11,정면,단어,KETI_SL_0000010523,42
10524,11,정면,단어,KETI_SL_0000010524,43
10525,11,정면,단어,KETI_SL_0000010525,44
10526,11,정면,단어,KETI_SL_0000010526,45
10527,11,정면,단어,KETI_SL_0000010527,46
10528,11,정면,단어,KETI_SL_0000010528,47
10529,11,정면,단어,KETI_SL_0000010529,48
10530,11,정면,단어,KETI_SL_0000010530,49
10531,11,정면,단어,KETI_SL_0000010531,50
10532,11,정면,단어,KETI_SL_0000010532,51
10533,11,정면,단어,KETI_SL_0000010533,52
10534,11,정면,단어,KETI_SL_0000010534,53
10535,11,정면,단어,KETI_SL_0000010535,54
10536,11,정면,단어,KETI_SL_0000010536,55
10537,11,정면,단어,KETI_SL_0000010537,56
10538,11,정면,단어,KETI_SL_0000010538,57
10539,11,정면,단어,KETI_SL_0000010539,58
10540,11,정면,단어,KETI_SL_0000010540,59
10541,11,정면,단어,KETI_SL_0000010541,60
10542,11,정면,단어,KETI_SL_0000010542,61
10543,11,정면,단어,KETI_SL_0000010543,62
10544,11,정면,단어,KETI_SL_0000010544,63
10545,11,정면,단어,KETI_SL_0000010545,64
10546,11,정면,단어,KETI_SL_0000010546,65
10547,11,정면,단어,KETI_SL_0000010547,66
10548,11,정면,단어,KETI_SL_0000010548,67
10549,11,정면,단어,KETI_SL_0000010549,68
10550,11,정면,단어,KETI_SL_0000010550,69
10551,11,정면,단어,KETI_SL_0000010551,70
10552,11,정면,단어,KETI_SL_0000010552,71
10553,11,정면,단어,KETI_SL_0000010553,72
10554,11,정면,단어,KETI_SL_0000010554,73
10555,11,정면,단어,KETI_SL_0000010555,74
10556,11,정면,단어,KETI_SL_0000010556,75
10557,11,정면,단어,KETI_SL_0000010557,76
10558,11,정면,단어,KETI_SL_0000010558,77
10559,11,정면,단어,KETI_SL_0000010559,78
10560,11,정면,단어,KETI_SL_0000010560,79
10561,11,정면,단어,KETI_SL_0000010561,80
10562,11,정면,단어,KETI_SL_0000010562,81
10563,11,정면,단어,KETI_SL_0000010563,82
10564,11,정면,단어,KETI_SL_0000010564,83
10565,11,정면,단어,KETI_SL_0000010565,84
10566,11,정면,단어,KETI_SL_0000010566,85
10567,11,정면,단어,KETI_SL_0000010567,86
10568,11,정면,단어,KETI_SL_0000010568,87
10569,11,정면,단어,KETI_SL_0000010569,88
10570,11,정면,단어,KETI_SL_0000010570,89
10571,11,정면,단어,KETI_SL_0000010571,90
10572,11,정면,단어,KETI_SL_0000010572,91
10573,11,정면,단어,KETI_SL_0000010573,92
10574,11,정면,단어,KETI_SL_0000010574,93
10575,11,정면,단어,KETI_SL_0000010575,94
10576,11,정면,단어,KETI_SL_0000010576,95
10577,11,정면,단어,KETI_SL_0000010577,96
10578,11,정면,단어,KETI_SL_0000010578,97
10579,11,정면,단어,KETI_SL_0000010579,98
10580,11,정면,단어,KETI_SL_0000010580,99
10581,11,정면,단어,KETI_SL_0000010581,100
10900,11,좌측면,단어,KETI_SL_0000010900,0
10901,11,좌측면,단어,KETI_SL_0000010901,1
10902,11,좌측면,단어,KETI_SL_0000010902,2
10903,11,좌측면,단어,KETI_SL_0000010903,3
10904,11,좌측면,단어,KETI_SL_0000010904,4
10905,11,좌측면,단어,KETI_SL_0000010905,5
10906,11,좌측면,단어,KETI_SL_0000010906,6
10907,11,좌측면,단어,KETI_SL_0000010907,7
10908,11,좌측면,단어,KETI_SL_0000010908,8
10909,11,좌측면,단어,KETI_SL_0000010909,9
10910,11,좌측면,단어,KETI_SL_0000010910,10
10911,11,좌측면,단어,KETI_SL_0000010911,11
10912,11,좌측면,단어,KETI_SL_0000010912,12
10913,11,좌측면,단어,KETI_SL_0000010913,13
10914,11,좌측면,단어,KETI_SL_0000010914,14
10915,11,좌측면,단어,KETI_SL_0000010915,15
10916,11,좌측면,단어,KETI_SL_0000010916,16
10917,11,좌측면,단어,KETI_SL_0000010917,17
10918,11,좌측면,단어,KETI_SL_0000010918,18
10919,11,좌측면,단어,KETI_SL_0000010919,19
10920,11,좌측면,단어,KETI_SL_0000010920,20
10921,11,좌측면,단어,KETI_SL_0000010921,21
10922,11,좌측면,단어,KETI_SL_0000010922,22
10923,11,좌측면,단어,KETI_SL_0000010923,23
10924,11,좌측면,단어,KETI_SL_0000010924,24
10925,11,좌측면,단어,KETI_SL_0000010925,25
10926,11,좌측면,단어,KETI_SL_0000010926,26
10927,11,좌측면,단어,KETI_SL_0000010927,27
10928,11,좌측면,단어,KETI_SL_0000010928,28
10929,11,좌측면,단어,KETI_SL_0000010929,29
10930,11,좌측면,단어,KETI_SL_0000010930,30
10931,11,좌측면,단어,KETI_SL_0000010931,31
10932,11,좌측면,단어,KETI_SL_0000010932,32
10933,11,좌측면,단어,KETI_SL_0000010933,33
10934,11,좌측면,단어,KETI_SL_0000010934,34
10935,11,좌측면,단어,KETI_SL_0000010935,35
10936,11,좌측면,단어,KETI_SL_0000010936,36
10937,11,좌측면,단어,KETI_SL_0000010937,37
10938,11,좌측면,단어,KETI_SL_0000010938,38
10939,11,좌측면,단어,KETI_SL_0000010939,39
10940,11,좌측면,단어,KETI_SL_0000010940,40
10941,11,좌측면,단어,KETI_SL_0000010941,41
10942,11,좌측면,단어,KETI_SL_0000010942,42
10943,11,좌측면,단어,KETI_SL_0000010943,43
10944,11,좌측면,단어,KETI_SL_0000010944,44
10945,11,좌측면,단어,KETI_SL_0000010945,45
10946,11,좌측면,단어,KETI_SL_0000010946,46
10947,11,좌측면,단어,KETI_SL_0000010947,47
10948,11,좌측면,단어,KETI_SL_0000010948,48
10949,11,좌측면,단어,KETI_SL_0000010949,49
10950,11,좌측면,단어,KETI_SL_0000010950,50
10951,11,좌측면,단어,KETI_SL_0000010951,51
10952,11,좌측면,단어,KETI_SL_0000010952,52
10953,11,좌측면,단어,KETI_SL_0000010953,53
10954,11,좌측면,단어,KETI_SL_0000010954,54
10955,11,좌측면,단어,KETI_SL_0000010955,55
10956,11,좌측면,단어,KETI_SL_0000010956,56
10957,11,좌측면,단어,KETI_SL_0000010957,57
10958,11,좌측면,단어,KETI_SL_0000010958,58
10959,11,좌측면,단어,KETI_SL_0000010959,59
10960,11,좌측면,단어,KETI_SL_0000010960,60
10961,11,좌측면,단어,KETI_SL_0000010961,61
10962,11,좌측면,단어,KETI_SL_0000010962,62
10963,11,좌측면,단어,KETI_SL_0000010963,63
10964,11,좌측면,단어,KETI_SL_0000010964,64
10965,11,좌측면,단어,KETI_SL_0000010965,65
10966,11,좌측면,단어,KETI_SL_0000010966,66
10967,11,좌측면,단어,KETI_SL_0000010967,67
10968,11,좌측면,단어,KETI_SL_0000010968,68
10969,11,좌측면,단어,KETI_SL_0000010969,69
10970,11,좌측면,단어,KETI_SL_0000010970,70
10971,11,좌측면,단어,KETI_SL_0000010971,71
10972,11,좌측면,단어,KETI_SL_0000010972,72
10973,11,좌측면,단어,KETI_SL_0000010973,73
10974,11,좌측면,단어,KETI_SL_0000010974,74
10975,11,좌측면,단어,KETI_SL_0000010975,75
10976,11,좌측면,단어,KETI_SL_0000010976,76
10977,11,좌측면,단어,KETI_SL_0000010977,77
10978,11,좌측면,단어,KETI_SL_0000010978,78
10979,11,좌측면,단어,KETI_SL_0000010979,79
10980,11,좌측면,단어,KETI_SL_0000010980,80
10981,11,좌측면,단어,KETI_SL_0000010981,81
10982,11,좌측면,단어,KETI_SL_0000010982,82
10983,11,좌측면,단어,KETI_SL_0000010983,83
10984,11,좌측면,단어,KETI_SL_0000010984,84
