번호,언어 제공자 ID,취득연도,방향,타입(단어/문장),파일명,한국어
1,1,2018,정면,문장,KETI_SL_RES_0000000001.MOV,112입니다.
2,1,2018,정면,문장,KETI_SL_RES_0000000002.MOV,119입니다.
3,1,2018,정면,문장,KETI_SL_RES_0000000003.MOV,네.
4,1,2018,정면,문장,KETI_SL_RES_0000000004.MOV,아니오.
5,1,2018,정면,문장,KETI_SL_RES_0000000005.MOV,알겠어요.
6,1,2018,정면,문장,KETI_SL_RES_0000000006.MOV,현관문은 열려있나요?
7,1,2018,정면,문장,KETI_SL_RES_0000000007.MOV,현관문을 열어줄 수 있나요?
8,1,2018,정면,문장,KETI_SL_RES_0000000008.MOV,집을 빠져나갈 수 있는 길이 있나요?
9,1,2018,정면,문장,KETI_SL_RES_0000000009.MOV,거기에 창문이 있나요?
10,1,2018,정면,문장,KETI_SL_RES_0000000010.MOV,지금 안전한 곳에 계신가요?
11,1,2018,정면,문장,KETI_SL_RES_0000000011.MOV,집에 혼자있나요?
12,1,2018,정면,문장,KETI_SL_RES_0000000012.MOV,지금 엄마는 어디에 있나요?
13,1,2018,정면,문장,KETI_SL_RES_0000000013.MOV,주변에 사람이 보이시나요?
14,1,2018,정면,문장,KETI_SL_RES_0000000014.MOV,주변에 어디 들어가 있을 곳이 없나요?
15,1,2018,정면,문장,KETI_SL_RES_0000000015.MOV,전화 받는 분의 나이가 어떻게 되나요?
16,1,2018,정면,문장,KETI_SL_RES_0000000016.MOV,환자 나이가 어떻게 되나요?
17,1,2018,정면,문장,KETI_SL_RES_0000000017.MOV,주변에 아무도 없나요?
18,1,2018,정면,문장,KETI_SL_RES_0000000018.MOV,이름을 알려줄래요?
19,1,2018,정면,문장,KETI_SL_RES_0000000019.MOV,선생님 이름이 어떻게 되시죠?
20,1,2018,정면,문장,KETI_SL_RES_0000000020.MOV,언제요?
21,1,2018,정면,문장,KETI_SL_RES_0000000021.MOV,발견한지 얼마나 지나셨나요?
22,1,2018,정면,문장,KETI_SL_RES_0000000022.MOV,그 시간에 전화하신 분은 안계셨나요?
23,1,2018,정면,문장,KETI_SL_RES_0000000023.MOV,거기 지금 누구랑 같이 있나요?
24,1,2018,정면,문장,KETI_SL_RES_0000000024.MOV,친구한테 무슨 문제가 있나요?
25,1,2018,정면,문장,KETI_SL_RES_0000000025.MOV,왜 뛰어내리려고 하시는거죠?
26,1,2018,정면,문장,KETI_SL_RES_0000000026.MOV,무엇으로 살해했나요?
27,1,2018,정면,문장,KETI_SL_RES_0000000027.MOV,자주 싸우셨나요?
28,1,2018,정면,문장,KETI_SL_RES_0000000028.MOV,갑자기 무너진 건가요?
29,1,2018,정면,문장,KETI_SL_RES_0000000029.MOV,혹시 다친 사람들이 많이 있나요?
30,1,2018,정면,문장,KETI_SL_RES_0000000030.MOV,혹시 다치신 분은 없으신가요?
31,1,2018,정면,문장,KETI_SL_RES_0000000031.MOV,남성분이 어떻게 난동을 부리고 있으신가요?
32,1,2018,정면,문장,KETI_SL_RES_0000000032.MOV,어디서 납치된 건지 기억나시나요?
33,1,2018,정면,문장,KETI_SL_RES_0000000033.MOV,아직도 쫓아오나요?
34,1,2018,정면,문장,KETI_SL_RES_0000000034.MOV,불이 얼만큼 번졌나요?
35,1,2018,정면,문장,KETI_SL_RES_0000000035.MOV,혹시 사고난 차량 운전자 분은 괜찮으신가요?
36,1,2018,정면,문장,KETI_SL_RES_0000000036.MOV,지금 그쪽에 몇명이 구타를 하고 있는지 보이세요?
37,1,2018,정면,문장,KETI_SL_RES_0000000037.MOV,어떻게 발견하시게 된거세요?
38,1,2018,정면,문장,KETI_SL_RES_0000000038.MOV,남성인가요?
39,1,2018,정면,문장,KETI_SL_RES_0000000039.MOV,지금 불이 어떻게 퍼지고 있나요?
40,1,2018,정면,문장,KETI_SL_RES_0000000040.MOV,최초에 어떻게 불길이 번졌는지 알고 계시나요?
41,1,2018,정면,문장,KETI_SL_RES_0000000041.MOV,일단 사람을 빨리 구출 할 순 있나요?
42,1,2018,정면,문장,KETI_SL_RES_0000000042.MOV,응급조치는 하셨나요?
43,1,2018,정면,문장,KETI_SL_RES_0000000043.MOV,그 안에 사람이 많이 있나요?
